image,pose,smile,glasses,gender,eye_detected,mouth_detected,eye_nme,mouth_nme,combined_nme
Cindy_Zagorski_0001.jpg,1,1,2,2,0,0,-1,-1,-1
Federico_Trillo_0001.jpg,1,2,2,1,0,0,-1,-1,-1
Hartmut_Mehdorn_0001.jpg,1,2,2,1,0,0,-1,-1,-1
John_Sununu_0001.jpg,1,2,1,1,0,0,-1,-1,-1
Margaret_Caruso_0001.jpg,1,1,2,2,0,0,-1,-1,-1
Michael_Linscott_0001.jpg,1,2,2,1,1,0,1.77288,-1,1.77288
Michelle_Pfeiffer_0001.jpg,1,1,2,2,0,0,-1,-1,-1
Randy_Brown_0001.jpg,1,2,2,1,1,1,0.971478,0.581,0.776239
Tim_Conway_0001.jpg,1,1,2,1,0,0,-1,-1,-1
Victoria_Clarke_0001.jpg,1,2,2,2,0,0,-1,-1,-1
119_0_0.jpg,1,2,2,1,1,1,1.08434,0.61995,0.852143
1235_0_0.jpg,1,1,2,2,1,1,0.869267,0.541469,0.705368
1248_0_0.jpg,1,2,2,2,1,1,0.962607,0.667868,0.815238
1248_1_0.jpg,1,1,2,2,0,0,-1,-1,-1
127_1_0.jpg,1,2,2,1,0,0,-1,-1,-1
1327_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
1330_0_0.jpg,1,1,2,2,1,1,1.02264,0.409646,0.716142
1359_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
1368_1_0.jpg,1,1,2,2,1,1,0.995899,0.55138,0.773639
1780_0_0.jpg,1,1,2,1,1,1,0.823109,0.552319,0.687714
454_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
48_0_0.jpg,1,1,2,1,1,1,1.05292,0.844552,0.948736
49_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
5318_0_0.jpg,1,1,2,1,0,0,-1,-1,-1
5334_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
5686_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
5748_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
6061_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
6160_0_0.jpg,1,2,2,1,0,0,-1,-1,-1
6232_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
6410_0_0.jpg,1,2,2,2,1,1,1.65365,0.573981,1.11381
6510_0_0.jpg,1,1,1,1,0,0,-1,-1,-1
6966_2_0.jpg,1,1,2,1,1,1,1.05156,0.477417,0.764486
7050_0_0.jpg,1,2,2,1,0,0,-1,-1,-1
7067_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
7104_0_0.jpg,1,2,2,2,1,1,1.2401,0.587331,0.913718
712_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
7305_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
